Project,CurrencyLinks,Starts in,Sale info
Axiom X,Solana,https://twitter.com/axiomxplorer,"7/20/2022, 4:00:00 PM",Sale: 6 SOL
Magic Gear x Fashion Watches,Solana,https://twitter.com/magicgearnft,"7/20/2022, 6:00:00 PM",Sale: 3 SOL
Zodiac Club Official,Ethereum,https://twitter.com/ZodiacClubOFL,"7/20/2022, 10:00:00 PM",Sale: 0.08 ETH
Space Surfers,Solana,https://twitter.com/SpaceSurfersNFT,"7/21/2022, 9:00:00 AM",Sale: 1.5 SOL
Astro Baby Club,Ethereum,https://www.twitter.com/astrobabyclub,"7/21/2022, 10:00:00 AM",Pre-sale: 0.025 ETH
DeDON,Solana,https://twitter.com/NFTDeDON,"7/22/2022, 5:00:00 PM",Sale: 3 SOL
Women and Weapons,Ethereum,https://twitter.com/WomenandWeapons,"7/22/2022, 5:00:00 PM",Sale: .05 ETH
Formula X NFT Genesis,Ethereum,https://twitter.com/FormulaXNFT,"7/22/2022, 8:00:00 PM",Pre-sale: 0.18 ETH
Never Extinct,Ethereum,https://twitter.com/NeverExtinctNFT,"7/23/2022, 7:00:00 PM",Pre-sale: 0.2 ETH
ICON TOKEN NFT,ICON TOKEN NFT,https://twitter.com/ICONWORLDTOKEN,"7/25/2022, 9:00:00 AM",Pre-sale: 0.01 BNB
DWISS NFT,Ethereum,https://twitter.com/DwissWatch,"7/25/2022, 4:20:00 PM",Sale: 0.1 ETH
PvPWorlds,Ethereum,https://twitter.com/PvPWorldsNFT,"7/25/2022, 6:00:00 PM",Sale: 0.08 ETH
Mariam Marks Fungible Bunch,Ethereum,https://twitter.com/Fungiblebunch,"7/27/2022, 12:00:00 AM",Pre-sale: 0.05 ETH
Lunar Calendar Celebrities,Solana,https://twitter.com/LunarCelebsNFTS,"7/27/2022, 6:00:00 PM",Pre-sale: TBD
Tycoon Tigers Club,Ethereum,https://twitter.com/tycoontigers,"7/29/2022, 6:00:00 PM",Sale: 0.05 ETH
SkyWings NFT,Solana,https://twitter.com/SkyWingsNFT,"7/30/2022, 4:00:00 AM",Sale: 1.3 SOL
Shibacademy NFT game,Solana,https://twitter.com/shibacademy_nft,"7/30/2022, 9:00:00 AM",Pre-sale: 1.5 SOL
ZODIAC PROJECT,Ethereum,https://twitter.com/zdc_project,"7/30/2022, 10:00:00 AM",Sale: 0.2 ETH
Spin Cat,Ethereum,https://twitter.com/Spincat_online,"8/12/2022, 4:00:00 AM",Sale: 0.09 ETH
U-Topia Metaverse,Ethereum,https://twitter.com/UtopiaMetaverse,"8/31/2022, 8:00:00 AM",Sale: 0.1 ETH
Kong Warriors Fight Club,Ethereum,https://twitter.com/kongwfc,"9/1/2022, 5:00:00 PM",Pre-sale: 0.13 ETH
Dapper Ape High Society,Solana,https://twitter.com/DAHSNFT,"12/20/2022, 2:00:00 AM",Sale: 0.75 SOL
Anima,Ethereum,https://twitter.com/animaverse_,"5/28/2022, 10:00:00 PM",Pre-sale: 0.08 ETH
Bat Legends | Pixel Bats,Solana,https://twitter.com/BatLegendsOF,"5/28/2022, 11:00:00 PM",Sale: 1.5 SOL
Rise of Rhelegus,Ethereum,https://twitter.com/rhelegus,"5/29/2022, 2:00:00 PM",Sale: 0.066 ETH
The Elementhers NFT,Solana,https://twitter.com/elementhers,"5/29/2022, 8:00:00 PM",Pre-sale: 1.5 SOL
Maiko NFT,Ethereum,https://twitter.com/NFTgeisha,"5/30/2022, 1:00:00 AM",Sale: 0 ETH
Bad Bulls,Ethereum,https://twitter.com/badbullsnft,"5/30/2022, 10:00:00 AM",Pre-sale: 0.05 ETH
Blood of Yakuza,Solana,https://twitter.com/BofyGlobal,"5/30/2022, 3:00:00 PM",Sale: 0.77 SOL
Cat Mobstaz,Ethereum,https://twitter.com/catmobstaz,"5/30/2022, 10:00:00 PM",Sale: 0.25 ETH
